epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1040.27,0.96588,0.46358,0.99702,0.94284,0.9628,0.96984,0.69988,1.01869,0.48898,1.08579,0.0011684,0.0011684,0.0011684
44,1063.39,0.98082,0.45946,1.0205,0.95637,0.95331,0.9667,0.69636,1.00186,0.49013,1.08165,0.0011486,0.0011486,0.0011486
45,1087.54,0.97091,0.45674,1.00526,0.96462,0.9548,0.97605,0.71045,1.03083,0.48749,1.08804,0.0011288,0.0011288,0.0011288
46,1111.62,0.95645,0.46488,0.99608,0.94973,0.95571,0.96926,0.69671,1.01879,0.50929,1.1005,0.001109,0.001109,0.001109
47,1134.88,0.94246,0.4607,0.99117,0.95553,0.95331,0.97186,0.72003,0.99682,0.4846,1.07969,0.0010892,0.0010892,0.0010892
48,1159.17,0.95437,0.43849,1.00555,0.94879,0.98054,0.97599,0.70964,1.0289,0.46216,1.0897,0.0010694,0.0010694,0.0010694
49,1182.57,0.94918,0.44549,0.99896,0.95035,0.96825,0.96898,0.70739,1.01985,0.48945,1.08734,0.0010496,0.0010496,0.0010496
50,1205.86,0.94558,0.45469,0.98937,0.94256,0.97665,0.97816,0.69653,1.05689,0.47378,1.10162,0.0010298,0.0010298,0.0010298
51,1229.65,0.93103,0.44019,0.98643,0.95649,0.94083,0.97078,0.69418,1.04496,0.49402,1.09829,0.00101,0.00101,0.00101
52,1252.98,0.95021,0.4475,1.00372,0.94372,0.96887,0.97872,0.70595,1.04591,0.45869,1.09805,0.0009902,0.0009902,0.0009902
53,1276.39,0.94782,0.45228,0.98948,0.95035,0.96887,0.97494,0.71075,1.00274,0.45406,1.08199,0.0009704,0.0009704,0.0009704
54,1299.49,0.93744,0.42963,0.98828,0.93483,0.95331,0.97787,0.69965,1.04055,0.51485,1.11041,0.0009506,0.0009506,0.0009506
55,1322.35,0.94355,0.43318,0.99968,0.95324,0.96887,0.96944,0.70687,1.01414,0.48556,1.08752,0.0009308,0.0009308,0.0009308
56,1345.18,0.93425,0.42733,0.97869,0.95265,0.97665,0.96687,0.70217,1.00467,0.44358,1.08898,0.000911,0.000911,0.000911
57,1368.29,0.92084,0.42952,0.98178,0.9521,0.92812,0.95485,0.6821,1.02798,0.5185,1.09255,0.0008912,0.0008912,0.0008912
