epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,332.142,0.83834,0.48496,1.10041,0.98744,0.9886,0.99415,0.81218,0.76536,0.32939,1.08796,0.000156248,0.000156248,0.000156248
43,339.983,0.83924,0.48605,1.10528,0.98185,0.99355,0.99455,0.82053,0.74229,0.31627,1.06325,0.000153645,0.000153645,0.000153645
44,347.778,0.82046,0.50485,1.10977,0.9804,0.99219,0.99465,0.80764,0.81075,0.33178,1.11255,0.000151041,0.000151041,0.000151041
45,355.419,0.79326,0.46492,1.07392,0.98094,0.99792,0.99485,0.83161,0.72172,0.31074,1.06358,0.000148437,0.000148437,0.000148437
46,363.185,0.8099,0.49324,1.10856,0.98587,0.99679,0.99479,0.82687,0.73518,0.30971,1.06521,0.000145834,0.000145834,0.000145834
47,370.833,0.78056,0.45578,1.07504,0.99296,0.99674,0.99479,0.82314,0.73476,0.31699,1.06568,0.00014323,0.00014323,0.00014323
48,378.548,0.76137,0.4623,1.06563,0.98851,0.99476,0.99459,0.84015,0.69076,0.30043,1.03041,0.000140626,0.000140626,0.000140626
49,386.279,0.76466,0.46776,1.07112,0.98731,0.99593,0.99478,0.84068,0.6833,0.30349,1.02898,0.000138022,0.000138022,0.000138022
50,394.457,0.76048,0.45346,1.06678,0.99165,0.99356,0.99449,0.8388,0.685,0.3003,1.02853,0.000135419,0.000135419,0.000135419
51,402.827,0.74918,0.45193,1.05691,0.98043,0.98993,0.99408,0.84027,0.6996,0.29947,1.03572,0.000132815,0.000132815,0.000132815
52,413.295,0.75326,0.4432,1.05779,0.98861,0.98855,0.99304,0.82966,0.73168,0.31206,1.05991,0.000130211,0.000130211,0.000130211
53,421.003,0.74799,0.44831,1.06429,0.97053,0.99836,0.99431,0.83788,0.68757,0.29403,1.00017,0.000127608,0.000127608,0.000127608
