epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1049.22,0.96782,0.45956,0.99366,0.95364,0.96051,0.97201,0.72178,1.0204,0.48835,1.0813,0.0011684,0.0011684,0.0011684
44,1073.79,0.9737,0.47098,1.01091,0.93715,0.97276,0.97354,0.70693,1.02877,0.48652,1.0837,0.0011486,0.0011486,0.0011486
45,1098.11,0.96804,0.46945,1.00478,0.94637,0.96122,0.97273,0.71229,1.01469,0.48396,1.08984,0.0011288,0.0011288,0.0011288
46,1122.57,0.96023,0.46926,1.00833,0.9215,0.96109,0.96275,0.67753,1.05886,0.52916,1.09896,0.001109,0.001109,0.001109
47,1146.68,0.93466,0.44764,0.98804,0.94995,0.96,0.96735,0.70151,1.00075,0.48738,1.07683,0.0010892,0.0010892,0.0010892
48,1171.11,0.96771,0.45406,1.00037,0.95256,0.93756,0.97046,0.69666,1.04796,0.50182,1.09611,0.0010694,0.0010694,0.0010694
49,1195.71,0.94528,0.45597,0.99568,0.93851,0.98054,0.97526,0.69806,1.029,0.46784,1.10476,0.0010496,0.0010496,0.0010496
50,1220.13,0.94971,0.44798,0.99231,0.94617,0.96109,0.97032,0.70588,1.02281,0.47785,1.08697,0.0010298,0.0010298,0.0010298
51,1244.55,0.94108,0.45533,0.9936,0.94003,0.97593,0.97428,0.70761,1.0034,0.45895,1.08896,0.00101,0.00101,0.00101
52,1268.91,0.96107,0.45456,1.0107,0.96154,0.97271,0.97235,0.69785,1.03587,0.46931,1.08483,0.0009902,0.0009902,0.0009902
53,1293.18,0.90923,0.44465,0.97939,0.95416,0.97188,0.97144,0.70459,1.01769,0.46557,1.09281,0.0009704,0.0009704,0.0009704
